file,method,path
core/app.py,GET,/
core/memory_endpoint.py,GET,/analytics/daily
core/memory_endpoint.py,GET,/analytics/stats
core/memory_endpoint.py,GET,/analytics/topics
files_endpoint.py,POST,/analyze
core/app.py,GET,/api
core/app.py,GET,/api/automation/status
core/app.py,GET,/api/endpoints/list
core/app.py,GET,/app
core/assistant_endpoint.py,POST,/assistant
core/assistant_endpoint.py,POST,/assistant/stream
core/travel_endpoint.py,GET,/attractions/{city}
writing_endpoint.py,POST,/auction
writing_endpoint.py,GET,/auction/kb/fetch
writing_endpoint.py,POST,/auction/kb/learn
writing_endpoint.py,POST,/auction/pro
writing_endpoint.py,POST,/auction/suggest-tags
core/assistant_endpoint.py,POST,/auto
research_endpoint.py,POST,/autonauka
captcha_endpoint.py,GET,/balance
nlp_endpoint.py,POST,/batch-analyze
files_endpoint.py,POST,/batch/analyze
core/memory_endpoint.py,POST,/cache/cleanup
admin_endpoint.py,POST,/cache/clear
admin_endpoint.py,GET,/cache/stats
core/app.py,GET,/chat
core/memory_endpoint.py,DELETE,/clear
core/memory_endpoint.py,POST,/consolidate
core/memory_endpoint.py,POST,/context/process
core/memory_endpoint.py,GET,/context/summary/{conversation_id}
core/memory_endpoint.py,POST,/conversation
writing_endpoint.py,POST,/creative
files_endpoint.py,POST,/delete
programista_endpoint.py,POST,/deps/install
programista_endpoint.py,POST,/docker/build
programista_endpoint.py,POST,/docker/run
files_endpoint.py,GET,/download
psyche_endpoint.py,POST,/enhance-prompt
nlp_endpoint.py,POST,/entities
psyche_endpoint.py,POST,/episode
programista_endpoint.py,POST,/exec
nlp_endpoint.py,POST,/extract-topics
core/memory_endpoint.py,POST,/fact
writing_endpoint.py,POST,/fashion/analyze
core/app.py,GET,/favicon.ico
programista_endpoint.py,POST,/format
suggestions_endpoint.py,POST,/generate
core/travel_endpoint.py,GET,/geocode
programista_endpoint.py,POST,/git
prometheus_endpoint.py,GET,/health
core/travel_endpoint.py,GET,/hotels/{city}
programista_endpoint.py,POST,/init
suggestions_endpoint.py,POST,/inject
core/memory_endpoint.py,GET,/insights
nlp_endpoint.py,POST,/key-phrases
programista_endpoint.py,POST,/lint
files_endpoint.py,GET,/list
psyche_endpoint.py,GET,/load
core/app.py,GET,/manifest.webmanifest
writing_endpoint.py,POST,/masterpiece/article
writing_endpoint.py,POST,/masterpiece/sales
writing_endpoint.py,POST,/masterpiece/technical
batch_endpoint.py,GET,/metrics
core/app.py,GET,/ngsw-worker.js
cognitive_endpoint.py,POST,/nlp/analyze
psyche_endpoint.py,POST,/observe
core/memory_endpoint.py,GET,/personality/current
core/memory_endpoint.py,GET,/personality/list
core/memory_endpoint.py,POST,/personality/set
programista_endpoint.py,POST,/plan
cognitive_endpoint.py,POST,/proactive/suggestions
batch_endpoint.py,POST,/process
core/auth.py,GET,/protected
stt_endpoint.py,GET,/providers
cognitive_endpoint.py,POST,/psychology/analyze
cognitive_endpoint.py,GET,/psychology/state/{user_id}
admin_endpoint.py,GET,/ratelimit/config
admin_endpoint.py,GET,/ratelimit/usage/{user_id}
programista_endpoint.py,GET,/read
nlp_endpoint.py,POST,/readability
psyche_endpoint.py,GET,/reflect
cognitive_endpoint.py,POST,/reflect
cognitive_endpoint.py,GET,/reflection/summary
core/memory_endpoint.py,POST,/research/batch
psyche_endpoint.py,POST,/reset
core/travel_endpoint.py,GET,/restaurants/{city}
psyche_endpoint.py,POST,/save
core/travel_endpoint.py,GET,/search
research_endpoint.py,POST,/search
cognitive_endpoint.py,POST,/semantic/analyze
nlp_endpoint.py,POST,/sentiment
psyche_endpoint.py,POST,/set-mode
batch_endpoint.py,POST,/shutdown
programista_endpoint.py,GET,/snapshot
writing_endpoint.py,POST,/social
captcha_endpoint.py,POST,/solve
research_endpoint.py,GET,/sources
tts_endpoint.py,POST,/speak
files_endpoint.py,GET,/stats
core/memory_endpoint.py,GET,/stats/user
cognitive_endpoint.py,GET,/status
batch_endpoint.py,POST,/submit
core/app.py,GET,/sw.js
research_endpoint.py,GET,/test
programista_endpoint.py,POST,/test
cognitive_endpoint.py,GET,/tools/list
stt_endpoint.py,POST,/transcribe
programista_endpoint.py,GET,/tree
core/travel_endpoint.py,GET,/trip-plan
psyche_endpoint.py,GET,/tune
internal_ui.py,GET,/ui
internal_endpoint.py,GET,/ui_token
files_endpoint.py,POST,/upload
files_endpoint.py,POST,/upload/base64
core/memory_endpoint.py,POST,/validate/batch
core/memory_endpoint.py,POST,/validate/fact
core/memory_endpoint.py,GET,/validate/stats
writing_endpoint.py,POST,/vinted
tts_endpoint.py,GET,/voices
programista_endpoint.py,POST,/write
core/app.py,GET,/{full_path:path}
